# Position c_coord[0]
-0.0077566 5
-0.00694675 6
-0.00609193 4
-0.0051922 8
-0.00425028 5
-0.0033716 6
-0.00334282 7
-0.00244438 5
-0.00153539 7
-0.000602913 9
-0.0095225 3
-0.00837046 6
-0.00883229 8
-0.00779052 6
-0.00623521 6
-0.00531076 4
-0.0043137 7
-0.003362 4
-0.0022711 5
-0.00133098 9
-0.000374732 8
-0.00951232 3
-0.0087892 5
-0.00740495 7
-0.00787381 6
-0.00668488 5
-0.00578448 9
-0.00514712 9
-0.00487604 8
-0.00430682 7
-0.00338764 8
-0.00186606 5
-0.000328257 7
-0.00946531 3
-0.00801638 5
-0.00734205 6
-0.00608107 7
-0.00675961 5
-0.00538379 5
-0.00440356 5
-0.00356 8
-0.0027275 7
-0.00114941 10
-0.00194514 8
-0.00953419 5
-0.00791512 6
-0.00651042 6
-0.00512137 8
-0.0034665 7
-0.00255409 7
-0.00158757 7
-0.000382042 6
-0.00951316 3
-0.00875512 5
-0.00759181 7
-0.00490138 5
-0.00404617 4
-0.00305008 8
-0.00341776 7
-0.00217519 5
-0.00121227 8
-0.000361457 6
-0.00792346 7
-0.00689599 8
-0.00625847 6
-0.00554374 6
-0.00513417 8
-0.00423241 10
-0.00457026 7
-0.00355912 7
-0.00251261 7
-0.00193187 6
-0.00119227 8
-0.000528435 7
-0.00952843 5
-0.00913138 9
-0.00869677 6
-0.00815708 7
-0.00711711 9
-0.00690439 5
-0.0057616 6
-0.00489385 8
-0.00389203 8
-0.00204 6
-0.00292688 7
-0.00212771 8
-0.00128 6
-0.000360619 7
-0.00952754 5
-0.00867884 4
-0.00780517 5
-0.00708818 7
-0.00615235 6
-0.00519453 6
-0.00298926 7
-0.00121819 6
-0.000323241 5
-0.00921248 7
-0.0079384 7
-0.00712991 7
-0.00634601 4
-0.00557303 9
-0.00462907 7
-0.00373707 5
-0.00343395 7
-0.00269881 8
-0.00173632 6
-0.000768047 3
-0.00951971 4
-0.00826482 8
-0.00873619 6
-0.00868037 7
-0.00708825 4
-0.0079167 7
-0.00605469 5
-0.00528487 6
-0.00511059 6
-0.00439822 6
-0.00356299 6
-0.00279422 7
-0.00188458 7
-0.000987668 9
-0.00951816 4
-0.00843577 4
-0.00860755 3
-0.00759664 6
-0.00685361 7
-0.00540698 4
-0.00484647 6
-0.0039192 7
-0.00200932 4
-0.00297646 5
-0.00245432 5
-0.000930897 6
-0.000260135 10
-0.00950392 5
-0.00805642 5
-0.00697858 5
-0.00544953 5
-0.00448269 7
-0.0032968 7
-0.00268021 5
-0.00102675 9
-0.000186571 7
-0.00952994 5
-0.00872351 8
-0.00784235 7
-0.00734067 7
-0.00638688 7
-0.00603618 6
-0.00510104 7
-0.0035826 7
-0.00285982 7
-0.00201834 6
-0.00104468 8
-4.81079e-05 6
-0.00917767 5
-0.00824057 4
-0.00668817 7
-0.00577239 8
-0.00456898 8
-0.00381443 6
-0.00229501 6
-0.00135411 3
-0.000194386 4
-0.00952221 5
-0.0093343 7
-0.00859329 4
-0.00773564 5
-0.00724485 6
-0.00656458 6
-0.00527164 6
-0.00576826 6
-0.00428444 7
-0.00494317 7
-0.00366011 7
-0.00295247 6
-0.00269581 5
-0.00197725 5
-0.00114403 6
-0.00952752 6
-0.00808634 8
-0.00868089 9
-0.00770779 6
-0.00683352 7
-0.0058331 6
-0.00419061 6
-0.00499634 7
-0.00304975 6
-0.00209849 6
-0.000916128 7
-2.91477e-05 6
-0.00858717 6
-0.00676059 7
-0.00586297 8
-0.00506076 5
-0.0040921 6
-0.00337914 7
-0.00254922 7
-0.00114224 5
-0.000192937 7
-0.00901314 6
-0.00820559 7
-0.00760878 5
-0.00676947 6
-0.00585717 7
-0.00503913 5
-0.00429651 9
-0.00367019 6
-0.00274338 6
-0.00161687 6
-0.00105268 7
-0.000171967 8
-0.00953205 4
-0.00827082 6
-0.00761224 5
-0.00667676 5
-0.00595572 7
-0.00552641 8
-0.00424104 7
-0.00347061 6
-0.00270703 6
-0.00198789 5
-0.000635351 5
-0.00904348 7
-0.00808959 5
-0.00713183 6
-0.00646276 7
-0.00579127 7
-0.00578919 6
-0.00490967 7
-0.00419205 7
-0.00311257 8
-0.00206806 4
-0.00110551 6
-0.0095279 5
-0.00898647 4
-0.00815681 7
-0.00721838 7
-0.0064203 5
-0.00529234 6
-0.00473391 7
-0.00357828 6
-0.00299468 7
-0.00254445 6
-0.00161388 6
-0.000560664 7
-0.00952233 3
-0.00762667 6
-0.00693397 8
-0.00596407 7
-0.00437254 8
-0.00478656 7
-0.00394441 6
-0.00261903 7
-0.00176843 7
-0.000947818 8
-0.00950608 4
-0.00868725 7
-0.00787984 7
-0.00671554 4
-0.00551531 7
-0.00416678 7
-0.00458098 7
-0.00372149 7
-0.00299483 7
-0.00204503 6
-0.00108881 6
-0.00951507 4
-0.00862753 6
-0.00736269 5
-0.00618639 7
-0.00551816 6
-0.00552317 7
-0.00461939 8
-0.00389422 8
-0.00305887 8
-0.00211731 8
-0.00114531 3
-0.00928388 4
-0.00860806 6
-0.00768106 6
-0.00685335 6
-0.00598356 6
-0.00443416 6
-0.00480981 7
-0.00379311 6
-0.00334129 6
-0.0027868 7
-0.00257087 7
-0.00180936 6
-0.000677064 5
-6.94051e-05 7
-0.00951608 3
-0.0086667 5
-0.00771892 7
-0.00670273 5
-0.00577528 6
-0.00420272 8
-0.00479243 5
-0.00392228 8
-0.00259747 7
-0.00177092 4
-0.00170381 9
-0.00027781 6
-0.000727971 6
-0.00913031 5
-0.00795177 9
-0.00715971 6
-0.006211 6
-0.00547359 6
-0.00456859 8
-0.00306105 8
-0.00365285 5
-0.00216253 8
-0.00260057 6
-0.00117871 7
-0.00142948 7
-0.000688112 8
-0.00951901 4
-0.00855396 7
-0.00794874 6
-0.00756973 6
-0.00674547 6
-0.00532385 6
-0.00591885 9
-0.00438596 7
-0.00344254 7
-0.00268081 7
-0.00194425 8
-0.000521681 6
-0.00926988 5
-0.00771045 5
-0.00650043 7
-0.00562647 6
-0.00501325 7
-0.00416993 8
-0.00306794 8
-0.0020832 6
-0.00111913 5
-0.00106534 4
-0.000171089 7
-0.00953524 5
-0.00867208 5
-0.00896596 6
-0.00776092 6
-0.00682451 3
-0.00586444 7
-0.00490935 7
-0.00482715 4
-0.00443039 6
-0.00370568 7
-0.00277736 8
-0.00181263 5
-0.000300409 6
-0.00953957 5
-0.00810388 6
-0.00748047 7
-0.00720422 5
-0.0078611 8
-0.00647539 6
-0.00558985 4
-0.00408344 5
-0.00324475 6
-0.00218569 5
-0.00266812 9
-0.00121367 5
-0.00178385 5
-0.00952158 5
-0.00907295 7
-0.00879921 8
-0.00811906 7
-0.00695371 6
-0.00596026 5
-0.00455785 5
-0.00395411 7
-0.00316863 3
-0.00241214 3
-0.00149761 6
-0.00110779 5
-0.000188532 6
-0.000260747 7
-0.00952829 4
-0.0081719 5
-0.00737918 7
-0.00734845 9
-0.00669721 9
-0.00660844 7
-0.00515264 7
-0.00423082 7
-0.00316828 6
-0.00215722 5
-0.00139515 5
-0.000956672 8
-0.000317944 5
