# Position c_coord[0]
-0.00600355 1
-0.00460996 3
-0.00381649 5
-0.00316666 6
-0.00219221 6
-0.00129417 4
-0.000444379 4
-0.00949661 3
-0.00866815 7
-0.00774645 3
-0.00677864 5
-0.0051108 4
-0.00583499 4
-0.00426298 5
-0.00330743 5
-0.0014213 5
-0.00117567 5
-0.00019803 5
-0.00949647 1
-0.00806271 4
-0.00651214 3
-0.00563647 4
-0.00415893 6
-0.00494684 2
-0.00324935 5
-0.00216188 3
-0.0013503 7
-0.00949619 1
-0.00897862 5
-0.00814953 2
-0.00724375 2
-0.00592455 4
-0.00492788 2
-0.00327957 7
-0.00232323 5
-0.000603164 5
-0.00949637 2
-0.00823994 4
-0.00862551 3
-0.00744109 0
-0.00641574 1
-0.00527111 0
-0.00413098 4
-0.00314117 7
-0.003437 6
-0.00129179 5
-0.000470568 6
-0.0094963 5
-0.00949653 3
-0.00852913 2
-0.00741327 5
-0.00676533 2
-0.00592794 4
-0.00505506 4
-0.00415064 4
-0.00292235 6
-0.0020994 4
-0.0010657 6
-0.000125438 5
-0.00883987 5
-0.00702965 4
-0.00764565 6
-0.00793382 8
-0.00594236 3
-0.00513519 3
-0.00374448 5
-0.00192998 4
-0.000818317 5
-0.0094961 5
-0.00863559 3
-0.00740642 6
-0.00621554 1
-0.00524398 2
-0.00467303 4
-0.00424181 7
-0.00277043 4
-0.00181904 6
-0.000844308 7
-0.00949696 3
-0.00849113 4
-0.00604923 4
-0.0068974 5
-0.00529345 4
-0.00432913 6
-0.00327474 1
-0.00224769 4
-0.00248663 2
-0.00141146 4
-0.000371662 8
-0.00949617 4
-0.00875106 5
-0.00786211 4
-0.00761283 5
-0.00664573 5
-0.00515558 1
-0.00339223 5
-0.002221 5
-0.000758448 4
-0.00867185 5
-0.00778858 5
-0.00687746 1
-0.00622636 1
-0.0051589 2
-0.0055632 5
-0.00424963 7
-0.00355493 6
-0.00216509 4
-0.00132213 7
-0.000183502 5
-0.00949618 4
-0.00866923 4
-0.0079927 2
-0.00707485 2
-0.00779148 5
-0.00619398 6
-0.00531645 6
-0.00454234 4
-0.00370669 5
-0.00285509 5
-0.00287189 5
-0.00213498 1
-0.00182034 4
-0.000991014 1
-0.00949696 1
-0.00889702 2
-0.00828729 1
-0.00734053 2
-0.00580164 4
-0.00527394 4
-0.00460966 4
-0.00418059 5
-0.00297 4
-0.00137412 3
-0.00949661 0
-0.00949617 1
-0.00862618 3
-0.00768589 4
-0.00709234 4
-0.0066881 2
-0.00582871 4
-0.00483249 3
-0.00330553 3
-0.00208797 4
-0.000625648 6
-0.00949664 0
-0.00866127 1
-0.00797063 1
-0.00641638 4
-0.00545373 5
-0.00305445 5
-0.00225487 6
-0.00207525 5
-0.00052272 4
-0.000116072 5
-0.00886472 4
-0.00753392 5
-0.00652818 2
-0.00564021 1
-0.00569942 4
-0.00484997 7
-0.00392423 3
-0.00321029 4
-0.0023524 6
-0.0013656 5
-0.000317194 4
-0.0094969 3
-0.00817803 3
-0.00723613 5
-0.00641625 3
-0.00506649 3
-0.00412541 6
-0.00137299 5
-0.000483657 6
-0.00949682 4
-0.00862764 4
-0.00865271 2
-0.00797542 3
-0.00734958 4
-0.0067848 2
-0.00574165 2
-0.00473524 4
-0.00383126 5
-0.00262429 5
-0.00211188 6
-0.00143331 5
-0.000641075 4
-0.00949676 5
-0.00860591 2
-0.00767479 4
-0.00665498 6
-0.00566224 5
-0.00427292 4
-0.004722 6
-0.0031982 6
-0.00290161 5
-0.00153601 7
-0.000681359 5
-0.00949653 3
-0.00754892 5
-0.0066828 2
-0.0056715 1
-0.00485478 5
-0.00389092 2
-0.00229907 3
-0.00122613 4
-0.000327336 5
-0.00949643 4
-0.00854458 5
-0.00769327 4
-0.00780363 5
-0.00680315 4
-0.00588605 3
-0.00418576 4
-0.00320353 7
-0.0033713 4
-0.00238831 5
-0.00136031 2
-0.000378596 1
-0.00949605 2
-0.00851294 4
-0.00763835 4
-0.00672605 6
-0.00563235 1
-0.00438601 7
-0.00276856 4
-0.00192686 6
-0.000933127 3
-0.00949656 2
-0.0086643 4
-0.00770709 4
-0.0067903 4
-0.00688247 5
-0.00450764 5
-0.0035049 8
-0.00257477 2
-0.00162706 6
-0.000759895 6
-0.00949529 4
-0.00768201 3
-0.00599735 3
-0.00456081 4
-0.00341108 6
-0.000739227 4
-0.00949667 3
-0.00864394 4
-0.00786969 6
-0.00708572 6
-0.00613282 1
-0.00534676 4
-0.00436788 1
-0.00317532 5
-0.00356634 5
-0.00271541 5
-0.0017091 6
-0.000881408 5
-0.0094968 3
