"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
612.88,0.96375,0.175,0.96375,-2.7775e-12,2497.8,0.65133,2666.6,2497.8,191.6,0.96375,612.88,2497.8,0.96375,0.076267,-0.00089499,-0.021836,0.076267,-0.00089499,-0.021836,0,0,0,1.5367e-12,8.0583e-12,-1.3176e-11,4.3432e-07,-2.3778e-09,-1.1824e-08,-3.0863e-12,8.4692e-12,-1.3453e-11,1.5367e-12,8.0583e-12,-1.3176e-11,-0.0255,-0.0025,0.002
573,1,0.175,1,0,0,0,2666.6,0,0,1,573,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.00083333,0.002
578.55,1,0.175,1,0,0,0,2666.6,0,0,1,578.55,0,1,0.050693,-0.00010028,0.013244,0.050693,-0.00010028,0.013244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.00083333,0.002
584.35,1,0.175,1,0,0,0,2666.6,0,0,1,584.35,0,1,0.047991,-0.00015318,0.010264,0.047991,-0.00015318,0.010264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.00083333,0.002
590.13,1,0.175,1,0,0,0,2666.6,0,0,1,590.13,0,1,0.043933,-0.00032046,0.005514,0.043933,-0.00032046,0.005514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.00083333,0.002
595.82,1,0.175,1,0,0,0,2666.6,0,0,1,595.82,0,1,0.043202,-0.00048682,-5.84e-05,0.043202,-0.00048682,-5.84e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.00083333,0.002
601.02,1,0.175,1,0,0,0,2666.6,0,0,1,601.02,0,1,0.041924,-0.0011194,-0.0066029,0.041924,-0.0011194,-0.0066029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.00083333,0.002
605.56,1,0.175,1,0,0,0,2666.6,0,0,1,605.56,0,1,0.044796,-0.0016883,-0.013844,0.044796,-0.0016883,-0.013844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.00083333,0.002
608.81,1,0.175,1,0,0,0,2666.5,0,0,1,608.81,0,1,0.042361,-0.0038547,-0.023309,0.042361,-0.0038547,-0.023309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.00083333,0.002
612.83,0.96044,0.175,0.96044,-2.7775e-12,8563.8,0.37958,2666.6,8563.8,319.86,0.96044,612.83,8563.8,0.96044,0.043853,-0.0031735,-0.015583,0.043853,-0.0031735,-0.015583,0,0,0,-3.6199e-12,8.3306e-12,-2.4549e-11,4.3357e-07,5.6656e-10,-6.9079e-09,5.9782e-13,4.4894e-12,-2.513e-11,-3.6199e-12,8.3306e-12,-2.4549e-11,-0.0255,-0.00083333,0.002
573,1,0.175,1,0,0,0,2666.6,0,0,1,573,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.00083333,0.002
578.55,1,0.175,1,0,0,0,2666.6,0,0,1,578.55,0,1,0.050704,0.00010906,0.01322,0.050704,0.00010906,0.01322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.00083333,0.002
584.35,1,0.175,1,0,0,0,2666.6,0,0,1,584.35,0,1,0.048037,0.00016873,0.010222,0.048037,0.00016873,0.010222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.00083333,0.002
590.13,1,0.175,1,0,0,0,2666.6,0,0,1,590.13,0,1,0.044019,0.00036067,0.0053567,0.044019,0.00036067,0.0053567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,0.00083333,0.002
595.83,1,0.175,1,0,0,0,2666.6,0,0,1,595.83,0,1,0.043459,0.00056038,-0.00035467,0.043459,0.00056038,-0.00035467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,0.00083333,0.002
601.02,1,0.175,1,0,0,0,2666.5,0,0,1,601.02,0,1,0.042317,0.0013428,-0.0076809,0.042317,0.0013428,-0.0076809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,0.00083333,0.002
605.59,1,0.175,1,0,0,0,2666.6,0,0,1,605.59,0,1,0.046043,0.0020346,-0.015793,0.046043,0.0020346,-0.015793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,0.00083333,0.002
608.9,1,0.175,1,0,0,0,2666.5,0,0,1,608.9,0,1,0.043963,0.0049007,-0.029536,0.043963,0.0049007,-0.029536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,0.00083333,0.002
613.25,0.95687,0.175,0.95687,-4.1663e-12,8864.4,0.9015,2666.6,8864.4,405.91,0.95687,613.25,8864.4,0.95687,0.05067,0.0040158,-0.020861,0.05067,0.0040158,-0.020861,0,0,0,-6.8499e-13,1.2549e-11,-2.905e-12,4.4061e-07,2.6735e-09,-1.3158e-08,-1.0903e-12,9.1183e-12,-3.7639e-12,-6.8499e-13,1.2549e-11,-2.905e-12,-0.0255,0.00083333,0.002
573,1,0.175,1,0,0,0,2666.6,0,0,1,573,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.0025,0.002
578.54,1,0.175,1,0,0,0,2666.6,0,0,1,578.54,0,1,0.050769,-1.3883e-05,0.013217,0.050769,-1.3883e-05,0.013217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.0025,0.002
584.35,1,0.175,1,0,0,0,2666.6,0,0,1,584.35,0,1,0.048288,-2.586e-05,0.010197,0.048288,-2.586e-05,0.010197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.0025,0.002
