"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","T","Tsource","voidfraction","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
616.27,0.77314,0.175,0.77314,1.736e-12,52006,17.607,3002.2,52006,616.27,1317.6,0.77314,52006,0.77314,0.057468,0.00084191,-0.0011455,0.057468,0.00084191,-0.0011455,0,0,0,2.3611e-11,-6.9962e-13,-1.5222e-13,2.7107e-06,6.2662e-09,3.2396e-08,2.3177e-11,5.196e-13,2.8488e-13,2.3611e-11,-6.9962e-13,-1.5222e-13,-0.0255,0.0025,0.001
573,1,0.175,1,0,0,0,3002.3,0,573,0,1,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.0025,0.002
580.72,1,0.175,1,0,0,0,3002.3,0,580.72,0,1,0,1,0.05059,0.00013606,0.014173,0.05059,0.00013606,0.014173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.0025,0.002
588.59,1,0.175,1,0,0,0,3002.3,0,588.59,0,1,0,1,0.045506,0.00028076,0.012182,0.045506,0.00028076,0.012182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.0025,0.002
596.71,1,0.175,1,0,0,0,3002.3,0,596.71,0,1,0,1,0.041163,0.00040891,0.0084412,0.041163,0.00040891,0.0084412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.0025,0.002
604.56,1,0.175,1,0,0,0,3002.3,0,604.56,0,1,0,1,0.035557,0.00086256,0.0042811,0.035557,0.00086256,0.0042811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.0025,0.002
612.19,1,0.175,1,0,0,0,3002.3,0,612.19,0,1,0,1,0.035755,0.0012651,7.0234e-05,0.035755,0.0012651,7.0234e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.0025,0.002
618.71,1,0.175,1,0,0,0,3002.2,0,618.71,0,1,0,1,0.033487,0.0026754,-0.005226,0.033487,0.0026754,-0.005226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.0025,0.002
624.11,1,0.175,1,0,0,0,3002.3,0,624.11,0,1,0,1,0.044613,0.0025562,-0.0079439,0.044613,0.0025562,-0.0079439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.0025,0.002
632.91,0.77009,0.175,0.77009,6.9438e-13,51396,13.773,3002.2,51396,632.91,1873.1,0.77009,51396,0.77009,0.071558,0.00061487,-0.0040071,0.071558,0.00061487,-0.0040071,0,0,0,2.2668e-11,-6.2868e-12,-2.6116e-12,3.1479e-06,-1.3667e-09,1.1994e-08,2.1885e-11,-5.4235e-12,-2.4155e-12,2.2668e-11,-6.2868e-12,-2.6116e-12,-0.0255,-0.0025,0.002
573,1,0.175,1,0,0,0,3002.3,0,573,0,1,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.00083333,0.002
580.72,1,0.175,1,0,0,0,3002.3,0,580.72,0,1,0,1,0.05056,-0.00016655,0.014198,0.05056,-0.00016655,0.014198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.00083333,0.002
588.59,1,0.175,1,0,0,0,3002.3,0,588.59,0,1,0,1,0.045409,-0.00033835,0.012261,0.045409,-0.00033835,0.012261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.00083333,0.002
596.71,1,0.175,1,0,0,0,3002.3,0,596.71,0,1,0,1,0.040903,-0.00052942,0.0085648,0.040903,-0.00052942,0.0085648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.00083333,0.002
604.57,1,0.175,1,0,0,0,3002.3,0,604.57,0,1,0,1,0.035009,-0.0011218,0.00464,0.035009,-0.0011218,0.00464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.00083333,0.002
612.21,1,0.175,1,0,0,0,3002.3,0,612.21,0,1,0,1,0.03419,-0.0017601,0.00052806,0.03419,-0.0017601,0.00052806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.00083333,0.002
618.82,1,0.175,1,0,0,0,3002.2,0,618.82,0,1,0,1,0.03068,-0.0038485,-0.0042288,0.03068,-0.0038485,-0.0042288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.00083333,0.002
624.45,1,0.175,1,0,0,0,3002.3,0,624.45,0,1,0,1,0.036109,-0.0037179,-0.00778,0.036109,-0.0037179,-0.00778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.00083333,0.002
632.65,0.76233,0.175,0.76233,2.4303e-12,1.3216e+05,30.983,3002.2,1.3216e+05,632.65,1876.2,0.76233,1.3216e+05,0.76233,0.053716,-0.00076856,-0.0047326,0.053716,-0.00076856,-0.0047326,0,0,0,1.5014e-11,-3.3047e-12,-7.4225e-12,2.6937e-06,2.0256e-08,-9.2921e-08,1.5175e-11,-3.7663e-12,-7.7729e-12,1.5014e-11,-3.3047e-12,-7.4225e-12,-0.0255,-0.00083333,0.002
573,1,0.175,1,0,0,0,3002.3,0,573,0,1,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.00083333,0.002
580.72,1,0.175,1,0,0,0,3002.3,0,580.72,0,1,0,1,0.050424,2.2409e-05,0.014207,0.050424,2.2409e-05,0.014207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.00083333,0.002
588.6,1,0.175,1,0,0,0,3002.3,0,588.6,0,1,0,1,0.04509,4.0535e-05,0.01228,0.04509,4.0535e-05,0.01228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.00083333,0.002
596.72,1,0.175,1,0,0,0,3002.3,0,596.72,0,1,0,1,0.04008,9.3277e-05,0.0086852,0.04008,9.3277e-05,0.0086852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,0.00083333,0.002
604.59,1,0.175,1,0,0,0,3002.3,0,604.59,0,1,0,1,0.03364,0.00022122,0.0049314,0.03364,0.00022122,0.0049314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,0.00083333,0.002
612.24,1,0.175,1,0,0,0,3002.3,0,612.24,0,1,0,1,0.030885,0.00044933,0.0014792,0.030885,0.00044933,0.0014792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,0.00083333,0.002
618.89,1,0.175,1,0,0,0,3002.3,0,618.89,0,1,0,1,0.025215,0.0011288,-0.001911,0.025215,0.0011288,-0.001911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,0.00083333,0.002
624.56,1,0.175,1,0,0,0,3002.3,0,624.56,0,1,0,1,0.021672,0.0011784,-0.0033393,0.021672,0.0011784,-0.0033393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,0.00083333,0.002
633.03,0.7505,0.175,0.7505,1.0416e-12,1.3623e+05,32.023,3002.3,1.3623e+05,633.03,2018.8,0.7505,1.3623e+05,0.7505,0.032297,0.0003769,-0.0019244,0.032297,0.0003769,-0.0019244,0,0,0,1.6368e-11,-4.0368e-12,-1.0817e-11,3.4021e-06,3.1265e-08,-7.1077e-08,1.573e-11,-3.3302e-12,-1.047e-11,1.6368e-11,-4.0368e-12,-1.0817e-11,-0.0255,0.00083333,0.002
573,1,0.175,1,0,0,0,3002.3,0,573,0,1,0,1,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.0025,0.002
580.72,1,0.175,1,0,0,0,3002.3,0,580.72,0,1,0,1,0.05059,0.00013606,0.014173,0.05059,0.00013606,0.014173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.0025,0.002
588.59,1,0.175,1,0,0,0,3002.3,0,588.59,0,1,0,1,0.045506,0.00028076,0.012182,0.045506,0.00028076,0.012182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.0025,0.002
596.71,1,0.175,1,0,0,0,3002.3,0,596.71,0,1,0,1,0.041163,0.00040891,0.0084412,0.041163,0.00040891,0.0084412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,0.0025,0.002
604.56,1,0.175,1,0,0,0,3002.3,0,604.56,0,1,0,1,0.035557,0.00086256,0.0042811,0.035557,0.00086256,0.0042811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,0.0025,0.002
